=== t18_belief_cut  35 mm  4.0 s  96 frames at 24 fps  482482 returns ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
      0   0.000   44.96    1.37   23.49       0.0     8.00      2.50
      1   0.042   44.96    1.37   23.49       0.0     8.00      2.54
      2   0.084   44.96    1.37   23.49       0.1     8.00      2.58
      3   0.126   44.96    1.37   23.49       0.1     8.00      2.63
      4   0.168   44.96    1.37   23.49       0.3     8.00      2.67
      5   0.210   44.96    1.37   23.49       0.5     8.00      2.71
      6   0.252   44.96    1.37   23.49       0.7     8.00      2.75
      7   0.294   44.96    1.37   23.49       0.9     8.01      2.79
      8   0.336   44.96    1.37   23.49       1.2     8.01      2.84
      9   0.378   44.96    1.37   23.49       1.5     8.02      2.88
     10   0.420   44.96    1.37   23.49       1.8     8.02      2.92
     11   0.462   44.96    1.37   23.49       2.2     8.03      2.96
     12   0.504   44.97    1.37   23.49       2.6     8.04      3.00
     13   0.546   44.97    1.37   23.49       3.0     8.04      3.05
     14   0.588   44.97    1.37   23.49       3.4     8.05      3.09
     15   0.630   44.98    1.37   23.49       3.9     8.07      3.13
     16   0.672   44.98    1.37   23.49       4.4     8.08      3.17
     17   0.714   44.99    1.37   23.49       4.8     8.09      3.21
     18   0.756   44.99    1.37   23.49       5.3     8.11      3.26
     19   0.798   45.00    1.37   23.49       5.9     8.13      3.30
     20   0.840   45.00    1.37   23.49       6.4     8.15      3.34
     21   0.882   45.01    1.37   23.49       6.9     8.17      3.38
     22   0.924   45.02    1.37   23.49       7.4     8.19      3.42
     23   0.966   45.03    1.37   23.48       8.0     8.21      3.47
     24   1.008   45.03    1.37   23.48       8.5     8.24      3.51
     25   1.050   45.04    1.37   23.48       9.1     8.26      3.55
     26   1.092   45.05    1.37   23.48       9.6     8.29      3.59
     27   1.134   45.06    1.37   23.48      10.2     8.32      3.63
     28   1.176   45.07    1.37   23.48      10.7     8.35      3.68
     29   1.218   45.09    1.37   23.48      11.3     8.39      3.72
     30   1.261   45.10    1.37   23.48      11.8     8.42      3.76
     31   1.303   45.11    1.37   23.48      12.3     8.46      3.80
     32   1.345   45.12    1.37   23.48      12.9     8.50      3.84
     33   1.387   45.14    1.37   23.48      13.4     8.54      3.89
     34   1.429   45.15    1.37   23.48      13.9     8.58      3.93
     35   1.471   45.16    1.37   23.48      14.4     8.62      3.97
     36   1.513   45.18    1.37   23.47      14.9     8.67      4.01
     37   1.555   45.19    1.37   23.47      15.4     8.71      4.05
     38   1.597   45.21    1.37   23.47      15.8     8.76      4.10
     39   1.639   45.23    1.37   23.47      16.3     8.81      4.14
     40   1.681   45.24    1.37   23.47      16.7     8.86      4.18
     41   1.723   45.26    1.37   23.47      17.1     8.91      4.22
     42   1.765   45.28    1.37   23.47      17.5     8.96      4.26
     43   1.807   45.30    1.37   23.47      17.9     9.01      4.31
     44   1.849   45.31    1.37   23.47      18.3     9.07      4.35
     45   1.891   45.33    1.37   23.46      18.6     9.12      4.39
     46   1.933   45.35    1.37   23.46      18.9     9.18      4.43
     47   1.975   45.37    1.37   23.46      19.3     9.24      4.47
     48   2.017   45.39    1.37   23.46      19.5     9.29      4.52
     49   2.059   45.41    1.37   23.46      19.8     9.35      4.56
     50   2.101   45.43    1.37   23.46      20.0     9.41      4.60
     51   2.143   45.45    1.37   23.46      20.3     9.47      4.64
