=== t18_belief_cut  35 mm  4.0 s  96 frames at 24 fps  482482 returns ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
      5   0.211   49.20   36.00   22.00       1.0    36.00     60.54
      6   0.253   49.20   36.00   22.00       1.5    36.00     60.57
      7   0.295   49.20   36.00   22.01       2.1    36.00     60.61
      8   0.337   49.20   36.00   22.01       2.7    36.00     60.64
      9   0.379   49.20   36.00   22.01       3.4    36.00     60.67
     10   0.421   49.20   36.00   22.02       4.1    36.00     60.70
     11   0.463   49.20   36.00   22.02       4.9    36.00     60.73
     12   0.505   49.20   36.00   22.03       5.7    36.00     60.76
     13   0.547   49.20   36.00   22.03       6.6    36.00     60.80
     14   0.589   49.20   36.00   22.04       7.5    36.00     60.83
     15   0.632   49.20   36.00   22.05       8.5    36.00     60.86
     16   0.674   49.20   36.00   22.06       9.4    36.00     60.89
     17   0.716   49.20   36.00   22.07      10.4    36.00     60.92
     18   0.758   49.20   36.00   22.08      11.4    36.00     60.95
     19   0.800   49.20   36.00   22.09      12.4    36.00     60.99
     20   0.842   49.20   36.00   22.11      13.4    36.00     61.02
     21   0.884   49.20   36.00   22.12      14.5    36.00     61.05
     22   0.926   49.20   36.00   22.14      15.5    36.00     61.08
     23   0.968   49.20   36.00   22.15      16.5    36.00     61.11
     24   1.011   49.20   36.00   22.17      17.5    36.00     61.14
     25   1.053   49.20   36.00   22.19      18.5    36.00     61.17
     26   1.095   49.20   36.00   22.21      19.5    36.00     61.21
     27   1.137   49.20   36.00   22.23      20.4    36.00     61.24
     28   1.179   49.20   36.00   22.25      21.4    36.00     61.27
     29   1.221   49.20   36.00   22.27      22.3    36.00     61.30
     30   1.263   49.20   36.00   22.30      23.2    36.00     61.33
     31   1.305   49.20   36.00   22.32      24.0    36.00     61.36
     32   1.347   49.20   36.00   22.34      24.8    36.00     61.40
     33   1.389   49.20   36.00   22.37      25.6    36.00     61.43
     34   1.432   49.20   36.00   22.40      26.3    36.00     61.46
     35   1.474   49.20   36.00   22.42      27.0    36.00     61.49
     36   1.516   49.20   36.00   22.45      27.7    36.00     61.52
     37   1.558   49.20   36.00   22.48      28.3    36.00     61.55
     38   1.600   49.20   36.00   22.51      28.8    36.00     61.59
     39   1.642   49.20   36.00   22.54      29.4    36.00     61.62
     40   1.684   49.20   36.00   22.57      29.8    36.00     61.65
     41   1.726   49.20   36.00   22.60      30.2    36.00     61.68
     42   1.768   49.20   36.00   22.63      30.6    36.00     61.71
     43   1.811   49.20   36.00   22.66      30.9    36.00     61.74
     44   1.853   49.20   36.00   22.69      31.1    36.00     61.77
     45   1.895   49.20   36.00   22.72      31.3    36.00     61.81
     46   1.937   49.20   36.00   22.75      31.5    36.00     61.84
     47   1.979   49.20   36.00   22.78      31.5    36.00     61.87
     48   2.021   49.20   36.00   22.82      31.6    36.00     61.90
     49   2.063   49.20   36.00   22.85      31.5    36.00     61.93
     50   2.105   49.20   36.00   22.88      31.5    36.00     61.96
     51   2.147   49.20   36.00   22.91      31.3    36.00     62.00
     52   2.189   49.20   36.00   22.94      31.1    36.00     62.03
     53   2.232   49.20   36.00   22.97      30.9    36.00     62.06
     54   2.274   49.20   36.00   23.00      30.6    36.00     62.09
     55   2.316   49.20   36.00   23.03      30.2    36.00     62.12
     56   2.358   49.20   36.00   23.06      29.8    36.00     62.15
     57   2.400   49.20   36.00   23.09      29.4    36.00     62.19
     58   2.442   49.20   36.00   23.12      28.8    36.00     62.22
     59   2.484   49.20   36.00   23.15      28.3    36.00     62.25
     60   2.526   49.20   36.00   23.18      27.7    36.00     62.28
     61   2.568   49.20   36.00   23.20      27.0    36.00     62.31
     62   2.611   49.20   36.00   23.23      26.3    36.00     62.34
     63   2.653   49.20   36.00   23.26      25.6    36.00     62.37
     64   2.695   49.20   36.00   23.28      24.8    36.00     62.41
     65   2.737   49.20   36.00   23.30      24.0    36.00     62.44
     66   2.779   49.20   36.00   23.33      23.2    36.00     62.47
     67   2.821   49.20   36.00   23.35      22.3    36.00     62.50
     68   2.863   49.20   36.00   23.37      21.4    36.00     62.53
     69   2.905   49.20   36.00   23.39      20.4    36.00     62.56
     70   2.947   49.20   36.00   23.41      19.5    36.00     62.60
     71   2.989   49.20   36.00   23.43      18.5    36.00     62.63
     72   3.032   49.20   36.00   23.45      17.5    36.00     62.66
     73   3.074   49.20   36.00   23.46      16.5    36.00     62.69
     74   3.116   49.20   36.00   23.48      15.5    36.00     62.72
     75   3.158   49.20   36.00   23.49      14.5    36.00     62.75
     76   3.200   49.20   36.00   23.51      13.4    36.00     62.79
     77   3.242   49.20   36.00   23.52      12.4    36.00     62.82
     78   3.284   49.20   36.00   23.53      11.4    36.00     62.85
     79   3.326   49.20   36.00   23.54      10.4    36.00     62.88
     80   3.368   49.20   36.00   23.55       9.4    36.00     62.91
     81   3.411   49.20   36.00   23.56       8.5    36.00     62.94
     82   3.453   49.20   36.00   23.57       7.5    36.00     62.97
     83   3.495   49.20   36.00   23.57       6.6    36.00     63.01
     84   3.537   49.20   36.00   23.58       5.7    36.00     63.04
     85   3.579   49.20   36.00   23.58       4.9    36.00     63.07
     86   3.621   49.20   36.00   23.59       4.1    36.00     63.10
     87   3.663   49.20   36.00   23.59       3.4    36.00     63.13
     88   3.705   49.20   36.00   23.59       2.7    36.00     63.16
     89   3.747   49.20   36.00   23.60       2.1    36.00     63.20
     90   3.789   49.20   36.00   23.60       1.5    36.00     63.23
     91   3.832   49.20   36.00   23.60       1.0    36.00     63.26
     92   3.874   49.20   36.00   23.60       0.6    36.00     63.29
     93   3.916   49.20   36.00   23.60       0.3    36.00     63.32
     94   3.958   49.20   36.00   23.60       0.1    36.00     63.35
     95   4.000   49.20   36.00   23.60       0.0    36.00     63.39
    96 frames in 11.4 s = 0.12 s/frame

=== x19_fix_closes  35 mm  4.0 s  96 frames at 24 fps  1517578 returns ===
    machine: no machine block -- the project's default placement
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
      0   0.000   49.20   44.00   22.30       0.0    44.00     73.41
      1   0.042   49.20   44.00   22.30       0.0    44.00     73.44
      2   0.084   49.20   44.00   22.30       0.1    44.00     73.47
      3   0.126   49.20   44.00   22.30       0.3    44.00     73.50
      4   0.168   49.20   44.00   22.30       0.5    44.00     73.53
      5   0.211   49.20   44.00   22.30       0.8    44.00     73.56
      6   0.253   49.20   44.00   22.30       1.1    44.00     73.59
      7   0.295   49.20   44.00   22.30       1.5    44.00     73.62
      8   0.337   49.20   44.00   22.31       2.0    44.00     73.65
      9   0.379   49.20   44.00   22.31       2.5    44.00     73.68
     10   0.421   49.20   44.00   22.31       3.1    44.00     73.71
     11   0.463   49.20   44.00   22.32       3.7    44.00     73.74
     12   0.505   49.20   44.00   22.32       4.3    44.00     73.77
     13   0.547   49.20   44.00   22.32       4.9    44.00     73.80
     14   0.589   49.20   44.00   22.33       5.6    44.00     73.83
     15   0.632   49.20   44.00   22.34       6.3    44.00     73.86
     16   0.674   49.20   44.00   22.34       7.1    44.00     73.89
     17   0.716   49.20   44.00   22.35       7.8    44.00     73.91
     18   0.758   49.20   44.00   22.36       8.6    44.00     73.94
     19   0.800   49.20   44.00   22.37       9.3    44.00     73.97
     20   0.842   49.20   44.00   22.38      10.1    44.00     74.00
     21   0.884   49.20   44.00   22.39      10.9    44.00     74.03
     22   0.926   49.20   44.00   22.40      11.6    44.00     74.06
     23   0.968   49.20   44.00   22.41      12.4    44.00     74.09
     24   1.011   49.20   44.00   22.43      13.1    44.00     74.12
     25   1.053   49.20   44.00   22.44      13.9    44.00     74.15
     26   1.095   49.20   44.00   22.46      14.6    44.00     74.18
     27   1.137   49.20   44.00   22.47      15.3    44.00     74.21
     28   1.179   49.20   44.00   22.49      16.0    44.00     74.24
     29   1.221   49.20   44.00   22.50      16.7    44.00     74.27
     30   1.263   49.20   44.00   22.52      17.4    44.00     74.30
     31   1.305   49.20   44.00   22.54      18.0    44.00     74.33
     32   1.347   49.20   44.00   22.56      18.6    44.00     74.36
     33   1.389   49.20   44.00   22.58      19.2    44.00     74.39
     34   1.432   49.20   44.00   22.60      19.7    44.00     74.42
     35   1.474   49.20   44.00   22.62      20.3    44.00     74.45
     36   1.516   49.20   44.00   22.64      20.8    44.00     74.47
     37   1.558   49.20   44.00   22.66      21.2    44.00     74.50
     38   1.600   49.20   44.00   22.68      21.6    44.00     74.53
     39   1.642   49.20   44.00   22.70      22.0    44.00     74.56
     40   1.684   49.20   44.00   22.73      22.4    44.00     74.59
     41   1.726   49.20   44.00   22.75      22.7    44.00     74.62
     42   1.768   49.20   44.00   22.77      22.9    44.00     74.65
     43   1.811   49.20   44.00   22.79      23.2    44.00     74.68
     44   1.853   49.20   44.00   22.82      23.3    44.00     74.71
     45   1.895   49.20   44.00   22.84      23.5    44.00     74.74
     46   1.937   49.20   44.00   22.86      23.6    44.00     74.77
     47   1.979   49.20   44.00   22.89      23.7    44.00     74.80
     48   2.021   49.20   44.00   22.91      23.7    44.00     74.83
     49   2.063   49.20   44.00   22.94      23.7    44.00     74.86
     50   2.105   49.20   44.00   22.96      23.6    44.00     74.89
     51   2.147   49.20   44.00   22.98      23.5    44.00     74.92
     52   2.189   49.20   44.00   23.01      23.3    44.00     74.95
     53   2.232   49.20   44.00   23.03      23.2    44.00     74.98
     54   2.274   49.20   44.00   23.05      22.9    44.00     75.01
     55   2.316   49.20   44.00   23.07      22.7    44.00     75.03
     56   2.358   49.20   44.00   23.10      22.4    44.00     75.06
     57   2.400   49.20   44.00   23.12      22.0    44.00     75.09
     58   2.442   49.20   44.00   23.14      21.6    44.00     75.12
     59   2.484   49.20   44.00   23.16      21.2    44.00     75.15
     60   2.526   49.20   44.00   23.18      20.8    44.00     75.18
     61   2.568   49.20   44.00   23.20      20.3    44.00     75.21
     62   2.611   49.20   44.00   23.22      19.7    44.00     75.24
     63   2.653   49.20   44.00   23.24      19.2    44.00     75.27
     64   2.695   49.20   44.00   23.26      18.6    44.00     75.30
     65   2.737   49.20   44.00   23.28      18.0    44.00     75.33
     66   2.779   49.20   44.00   23.30      17.4    44.00     75.36
     67   2.821   49.20   44.00   23.31      16.7    44.00     75.39
     68   2.863   49.20   44.00   23.33      16.0    44.00     75.42
     69   2.905   49.20   44.00   23.34      15.3    44.00     75.45
     70   2.947   49.20   44.00   23.36      14.6    44.00     75.48
     71   2.989   49.20   44.00   23.37      13.9    44.00     75.51
     72   3.032   49.20   44.00   23.39      13.1    44.00     75.54
     73   3.074   49.20   44.00   23.40      12.4    44.00     75.57
     74   3.116   49.20   44.00   23.41      11.6    44.00     75.59
     75   3.158   49.20   44.00   23.42      10.9    44.00     75.62
     76   3.200   49.20   44.00   23.43      10.1    44.00     75.65
     77   3.242   49.20   44.00   23.44       9.3    44.00     75.68
     78   3.284   49.20   44.00   23.45       8.6    44.00     75.71
     79   3.326   49.20   44.00   23.46       7.8    44.00     75.74
     80   3.368   49.20   44.00   23.46       7.1    44.00     75.77
     81   3.411   49.20   44.00   23.47       6.3    44.00     75.80
     82   3.453   49.20   44.00   23.48       5.6    44.00     75.83
     83   3.495   49.20   44.00   23.48       4.9    44.00     75.86
     84   3.537   49.20   44.00   23.48       4.3    44.00     75.89
     85   3.579   49.20   44.00   23.49       3.7    44.00     75.92
     86   3.621   49.20   44.00   23.49       3.1    44.00     75.95
     87   3.663   49.20   44.00   23.49       2.5    44.00     75.98
     88   3.705   49.20   44.00   23.50       2.0    44.00     76.01
     89   3.747   49.20   44.00   23.50       1.5    44.00     76.04
     90   3.789   49.20   44.00   23.50       1.1    44.00     76.07
     91   3.832   49.20   44.00   23.50       0.8    44.00     76.10
     92   3.874   49.20   44.00   23.50       0.5    44.00     76.13
     93   3.916   49.20   44.00   23.50       0.3    44.00     76.15
     94   3.958   49.20   44.00   23.50       0.1    44.00     76.18
     95   4.000   49.20   44.00   23.50       0.0    44.00     76.21
    96 frames in 14.0 s = 0.15 s/frame

